SensorName,Date-Time(Wave),Name(Wave),Speed(Wave),Launch(Wave),Dir(Wave),BS(Wave),SS(Wave),TS(Wave),SA(Wave),Carry(Wave),Total(Wave),HeadSpeed(Wave),AA(Wave),CP(Wave),SP(Wave),SD(Wave),ML1_SP(Wave),ML1_LA(Wave),ML1_DA(Wave),ML1_BS(Wave),ML1_SS(Wave),ML1_SR(Wave),ML1_SA(Wave),RCT_MEA(Wave),RCT_MEA_AI(Wave),,SensorName,Date-Time(GCQ),ForesightSports:PLAYER1-2025-01-17¿ÀÈÄ4:5Club(GCQ),Ball(GCQ),BallSpeed(GCQ),LaunchAngle(GCQ),SideAngle(GCQ),Backspin(GCQ),Sidespin(GCQ),TiltAngle(GCQ),TotalSpin(GCQ),Carry(GCQ),Total(GCQ),Offline(GCQ),DescentAngle(GCQ),PeakHeight(GCQ),ClubSpeed(GCQ),Efficiency(GCQ),AngleofAttack(GCQ),ClubPath(GCQ),FacetoPath(GCQ),Lie(GCQ),Loft(GCQ),ClosureRate(GCQ),FaceImpactLateral(GCQ),FaceImpactVertical(GCQ),,SensorName,Date-Time(TM4),Date(TM4),TMDNo(TM4),TMDFilename(TM4),Player(TM4),Club(TM4),Ball(TM4),ClubSpeed(TM4),AttackAngle(TM4),ClubPath(TM4),LowPoint(TM4),SwingPlane(TM4),SwingDirection(TM4),Dyn.Loft(TM4),FaceAngle(TM4),FaceToPath(TM4),BallSpeed(TM4),SmashFactor(TM4),LaunchAngle(TM4),LaunchDirection(TM4),SpinRate(TM4),SpinRateType(TM4),SpinAxis(TM4),MaxHeight-Dist.(TM4),MaxHeight-Height(TM4),MaxHeight-Side(TM4),LastdataPoint-Length(TM4),LastdataPoint-Side(TM4),LastdataPoint-Height(TM4),LastdataPoint-Time(TM4),CarryFlat-Length(TM4),CarryFlat-Side(TM4),CarryFlat-Land.Angle(TM4),CarryFlat-BallSpeed(TM4),CarryFlat-Time(TM4),Est.TotalFlat-Length(TM4),Est.TotalFlat-Side(TM4),DynamicLie(TM4),ImpactOffset(TM4),ImpactHeight(TM4),Curve(TM4),SpinAxis(Sim)(TM4),Curve(Sim)(TM4),Carry(Sim)(TM4),Total(Sim)(TM4),CarrySide(Sim)(TM4),Totalside(Sim)(TM4),LandingAngle(Sim)(TM4),UseInStat(TM4),Tags(TM4),Condition(TM4),Email(TM4),,SensorName,Date-Time(Max),ShotID(Max),BallSpd.(Max),LaunchAngle(Max),LaunchDirection(Max),BackSpin(Max),SideSpin(Max),Totalspin(Max),SpinAxis(Max),HeadSpd.(Max),ClubPath(Max),FaceAngle(Max),AttackAngle(Max),DynamicLoft(Max),ImpactPoint(H)(Max),ImpactPoint(V)(Max),LowPoint(Max),SwingPlane(Max),SwingDirection(Max),ClubLie(Max),ClosureRate(Max),Faxis(Max),T/Hdiff.(Max),E(Max),Tag(Max),Time(Max),,SensorName,Date-Time(GRadar),Name(GRadar),Speed(GRadar),Launch(GRadar),Dir(GRadar),BS(GRadar),SS(GRadar),TS(GRadar),SA(GRadar),Carry(GRadar),Total(GRadar),HeadSpeed(GRadar),AA(GRadar),CP(GRadar),SP(GRadar),SD(GRadar),ML1_SP(GRadar),ML1_LA(GRadar),ML1_DA(GRadar),ML1_BS(GRadar),ML1_SS(GRadar),ML1_SR(GRadar),ML1_SA(GRadar),RCT_MEA(GRadar),RCT_MEA_AI(GRadar),,
Wave,, , , , , , , , , , , , , , , , , , , , , , , , , , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20210402_025626, SD_2021.04.02_02.56.26_000, 38.77, 8.14, -15.71, 3629.2, -1605.6, 3968.5, -23.9, 72.8, 93.7, 38.2, 98765.0, 98765.0, 98765.0, 98765.0, 19.45, 23.31, 5.15, 1794.7, -91.7, 1805.7, -1.8, 0, 0, , 
Wave,, , , , , , , , , , , , , , , , , , , , , , , , , , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20210402_025647, SD_2021.04.02_02.56.47_001, 46.27, 23.13, 0.47, 7730.4, 1825.0, 7942.9, 13.3, 134.1, 141.1, 37.7, 98765.0, 98765.0, 98765.0, 98765.0, 46.89, 23.44, -1.94, 6290.3, -501.6, 6373.3, -6.1, 0, 1, , 
Wave,20250117_135800, SI_2025.01.17_13.58.00_006, 46.21, 23.51, 2.91, 6742.3, -105.7, 6743.1, -0.9, 128.9, 133.6, 39.4, -6.9, 3.7, 59.3, -1.3, 21.72, 26.59, 3.51, 1985.3, 70.1, 1962.1, -0.7, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250117_140152, SI_2025.01.17_14.01.52_007, 49.01, 21.60, 2.22, 6155.0, 359.2, 6165.4, 3.3, 140.7, 146.3, 39.4, -5.2, 0.7, 58.4, -3.6, 31.06, 25.20, 0.61, 2281.4, -34.6, 2276.5, 0.5, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,20250117_140139, 1732,  49.7,  22.3,  1.1,  4010.3,  372.3,  4027.5,  5.3,  36.3,  -2.1,  8.4,  -5.8,  31.3,  9.9,  -4.4,  145.2,  59.5,  -11.1,  4.5,  0.0,  0.0,  0.0,  1,  ,  2025.01.17 14:01:39, , GRadar,20250117_140137, SD_2025.01.17_14.01.37_002, 49.57, 20.99, 0.84, 4491.7, 1016.0, 4605.2, 12.7, 142.1, 147.9, 39.3, 98765.0, 98765.0, 98765.0, 98765.0, 49.02, 20.14, -1.40, 5574.4, -362.8, 5626.4, -4.6, 0, 0, , 
Wave,20250117_140240, SI_2025.01.17_14.02.40_008, 50.18, 18.48, -1.79, 5046.6, -153.2, 5049.0, -1.7, 148.6, 157.5, 42.2, -1.5, -1.3, 57.6, -2.4, 51.14, 18.91, -5.89, 5670.6, -306.2, 5703.7, -2.8, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,20250117_140227, 1733,  50.8,  18.6,  -3.6,  3817.0,  -250.0,  3825.2,  -3.7,  36.6,  2.2,  -6.5,  -0.7,  24.4,  4.2,  -13.8,  16.4,  65.8,  1.8,  2.8,  0.0,  0.0,  2.4,  0,  ,  2025.01.17 14:02:27, , GRadar,20250117_140225, SD_2025.01.17_14.02.25_003, 49.81, 17.42, -3.05, 3621.3, 619.0, 3673.8, 9.7, 147.4, 155.1, 40.8, 98765.0, 98765.0, 98765.0, 98765.0, 50.80, 19.84, -2.61, 5561.7, -389.5, 5666.8, -4.6, 0, 0, , 
Wave,20250117_140334, SI_2025.01.17_14.03.34_010, 50.65, 20.03, -2.65, 5547.1, -240.0, 5552.3, -2.5, 149.2, 155.6, 41.0, -2.9, -1.9, 60.3, -3.8, 50.85, 19.60, -5.58, 5663.4, -258.4, 5680.6, -2.8, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,20250117_140322, 1734,  51.3,  21.1,  -4.4,  3329.7,  -154.0,  3333.3,  -2.6,  36.8,  1.7,  -3.7,  -1.2,  31.3,  5.9,  -15.5,  28.9,  67.8,  1.1,  2.3,  0.0,  0.0,  1.9,  0,  ,  2025.01.17 14:03:22, , GRadar,20250117_140319, SD_2025.01.17_14.03.19_004, 50.57, 19.34, -3.93, 2984.1, 483.0, 3023.0, 9.2, 158.5, 170.5, 40.8, 98765.0, 98765.0, 98765.0, 98765.0, 50.89, 20.83, -5.90, 5535.0, -717.8, 5643.5, -8.0, 0, 1, , 
Wave,20250117_140427, SI_2025.01.17_14.04.27_012, 51.04, 5.07, 0.77, 1836.8, 621.1, 1938.9, 18.7, 95.9, 121.6, 39.5, -2.7, -2.1, 58.3, -5.0, 51.43, 7.42, -1.19, 4551.5, 288.5, 4583.5, 4.1, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,20250117_140416, 1735,  51.6,  3.8,  0.7,  1886.8,  1764.2,  2583.1,  43.1,  36.8,  3.8,  3.6,  -0.5,  22.8,  -7.1,  -21.9,  11.9,  47.2,  3.6,  3.3,  0.0,  0.0,  3.0,  0,  ,  2025.01.17 14:04:16, , GRadar,20250117_140412, SD_2025.01.17_14.04.12_006, 51.41, 1.88, 0.59, 600.0, 0.1, 600.0, 0.0, 29.0, 48.4, 39.3, 98765.0, 98765.0, 98765.0, 98765.0, 50.42, 16.53, -1.23, 5332.7, -341.2, 5459.6, -5.3, 0, 1, , 
Wave,20250117_140458, SI_2025.01.17_14.04.58_013, 45.91, 20.21, -3.81, 5149.2, -439.6, 5167.9, -4.9, 131.6, 140.9, 39.5, -1.4, -2.1, 61.4, -2.6, 46.50, 20.03, -5.41, 5858.8, -675.9, 5977.8, -6.1, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,20250117_140445, 1736,  46.8,  20.8,  -4.1,  4029.9,  -1425.1,  4274.5,  -19.5,  35.4,  1.9,  13.8,  1.5,  34.1,  10.1,  -5.3,  -38.6,  63.1,  2.9,  -0.4,  0.0,  0.0,  0.4,  0,  ,  2025.01.17 14:04:45, , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250117_140531, SI_2025.01.17_14.05.31_016, 49.22, 11.87, -0.13, 4342.5, -296.3, 4352.6, -3.9, 136.4, 153.6, 40.9, -7.9, 1.4, 57.1, -4.7, 28.74, 25.33, -0.38, 2829.5, 280.9, 2900.8, -1.2, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,20250117_140519, 1737,  50.0,  11.8,  0.5,  5278.1,  324.9,  5288.1,  3.5,  36.4,  1.3,  5.3,  -3.2,  32.8,  11.1,  -20.7,  69.9,  65.0,  -0.7,  0.2,  0.0,  0.0,  0.1,  0,  ,  2025.01.17 14:05:19, , GRadar,20250117_140516, SD_2025.01.17_14.05.16_000, 49.38, 11.40, 0.08, 3696.2, 126.0, 3698.4, 2.0, 134.0, 147.3, 42.4, 98765.0, 98765.0, 98765.0, 98765.0, 49.63, 19.15, 2.73, 6635.4, 423.8, 6709.4, 2.8, 0, 0, , 
Wave,20250117_140558, SI_2025.01.17_14.05.58_017, 49.88, 14.96, 1.81, 4842.0, 222.7, 4847.1, 2.6, 144.6, 157.5, 41.9, -5.5, 1.0, 55.7, -3.9, 49.63, 13.32, -1.55, 5255.8, 467.5, 5297.0, 4.9, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,20250117_140546, 1738,  51.0,  15.2,  1.0,  6181.0,  37.0,  6181.1,  0.3,  36.7,  1.6,  1.7,  -0.6,  32.5,  5.0,  -18.0,  14.2,  61.6,  1.2,  4.7,  0.0,  0.0,  4.0,  0,  ,  2025.01.17 14:05:46, , GRadar,20250117_140543, SD_2025.01.17_14.05.43_001, 49.76, 14.59, 1.31, 4092.7, 630.0, 4140.9, 8.8, 137.1, 143.5, 42.4, 98765.0, 98765.0, 98765.0, 98765.0, 50.20, 17.04, -0.46, 5348.8, -47.2, 5354.2, -0.6, 0, 0, , 
