SensorName,Date-Time(Wave),Name(Wave),Speed(Wave),Launch(Wave),Dir(Wave),BS(Wave),SS(Wave),TS(Wave),SA(Wave),Carry(Wave),Total(Wave),HeadSpeed(Wave),AA(Wave),CP(Wave),SP(Wave),SD(Wave),ML1_SP(Wave),ML1_LA(Wave),ML1_DA(Wave),ML1_BS(Wave),ML1_SS(Wave),ML1_SR(Wave),ML1_SA(Wave),RCT_MEA(Wave),RCT_MEA_AI(Wave),,SensorName,Date-Time(GCQ),ForesightSports:PLAYER1-2025-01-21오후5:0Club(GCQ),Ball(GCQ),BallSpeed(GCQ),LaunchAngle(GCQ),SideAngle(GCQ),Backspin(GCQ),Sidespin(GCQ),TiltAngle(GCQ),TotalSpin(GCQ),Carry(GCQ),Total(GCQ),Offline(GCQ),DescentAngle(GCQ),PeakHeight(GCQ),ClubSpeed(GCQ),Efficiency(GCQ),AngleofAttack(GCQ),ClubPath(GCQ),FacetoPath(GCQ),Lie(GCQ),Loft(GCQ),ClosureRate(GCQ),FaceImpactLateral(GCQ),FaceImpactVertical(GCQ),,SensorName,Date-Time(TM4),Date(TM4),TMDNo(TM4),TMDFilename(TM4),Player(TM4),Club(TM4),Ball(TM4),ClubSpeed(TM4),AttackAngle(TM4),ClubPath(TM4),LowPoint(TM4),SwingPlane(TM4),SwingDirection(TM4),Dyn.Loft(TM4),FaceAngle(TM4),FaceToPath(TM4),BallSpeed(TM4),SmashFactor(TM4),LaunchAngle(TM4),LaunchDirection(TM4),SpinRate(TM4),SpinRateType(TM4),SpinAxis(TM4),MaxHeight-Dist.(TM4),MaxHeight-Height(TM4),MaxHeight-Side(TM4),LastdataPoint-Length(TM4),LastdataPoint-Side(TM4),LastdataPoint-Height(TM4),LastdataPoint-Time(TM4),CarryFlat-Length(TM4),CarryFlat-Side(TM4),CarryFlat-Land.Angle(TM4),CarryFlat-BallSpeed(TM4),CarryFlat-Time(TM4),Est.TotalFlat-Length(TM4),Est.TotalFlat-Side(TM4),DynamicLie(TM4),ImpactOffset(TM4),ImpactHeight(TM4),Curve(TM4),SpinAxis(Sim)(TM4),Curve(Sim)(TM4),Carry(Sim)(TM4),Total(Sim)(TM4),CarrySide(Sim)(TM4),Totalside(Sim)(TM4),LandingAngle(Sim)(TM4),UseInStat(TM4),Tags(TM4),Condition(TM4),Email(TM4),,SensorName,ShotID(Max),BallSpd.(Max),LaunchAngle(Max),LaunchDirection(Max),BackSpin(Max),SideSpin(Max),Totalspin(Max),SpinAxis(Max),HeadSpd.(Max),ClubPath(Max),FaceAngle(Max),AttackAngle(Max),DynamicLoft(Max),ImpactPoint(H)(Max),ImpactPoint(V)(Max),LowPoint(Max),SwingPlane(Max),SwingDirection(Max),ClubLie(Max),ClosureRate(Max),Faxis(Max),T/Hdiff.(Max),E(Max),Tag(Max),Time(Max),,SensorName,Date-Time(GRadar),Name(GRadar),Speed(GRadar),Launch(GRadar),Dir(GRadar),BS(GRadar),SS(GRadar),TS(GRadar),SA(GRadar),Carry(GRadar),Total(GRadar),HeadSpeed(GRadar),AA(GRadar),CP(GRadar),SP(GRadar),SD(GRadar),ML1_SP(GRadar),ML1_LA(GRadar),ML1_DA(GRadar),ML1_BS(GRadar),ML1_SS(GRadar),ML1_SR(GRadar),ML1_SA(GRadar),RCT_MEA(GRadar),RCT_MEA_AI(GRadar),,실측_1,실측_2,실측_CA,실측_ca_x,실측_ca_y,실측_to,실측_to_x,실측_to_y,장소,고도,기압,온도,습도,풍속,풍향,강수량,직사광선,프로/아마,볼타입,
Wave,20250121_133528, SI_2025.01.21_13.35.28_007,30.13,32.32,-0.33,6029.3,-489.5,6049.1,-4.6,70,74.6,30.3,-3.7,2.5,61.3,0.6,31.09,33.54,-1.92,7297.2,-166,7273.5,-1.4,0,0, , GCQ,20250121_133512, Iron,  Standard,30.7,34.5,0,2632,-114,-2.5,2634,76.2,86.3,-0.9,45.8,17.6,30.1,1.02,-8.2,6,-7.6,-4.1,41.3,1986.9,-7,-26.9, , TM4,20250121_133512, 2025-01-21 PM 1:35:12, , , Unknown Player, 7 Iron, Premium,28.893,-5,7.2,9.3,68.165,4.991,37.242,-1.087,-8.287,30.1641,1.044,33.417,-0.112,2616.7, Measured,6.577,43.89889526,16.58314859,-0.183121157,74.15679863,-0.330287891,-0.689863749,4.099705,73.49777251,-0.327773184,46.02498996,21.16640663,4.054812,84.56634991,-0.369896058,64.05969597,4.94613013,-24.03942707,-0.184, , ,73.5,84.6, , , , TRUE,101%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133510, SD_2025.01.21_13.35.10_000,30.54,33.49,0.43,7780.9,43,7781,0.3,72,75.2,33,98765,98765,98765,98765,30.69,33.52,-2.91,5937.4,-797.9,5953.7,-7.7,0,0, , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133650, SP_2025.01.21_13.36.50_008,25.55,33.1,3.74,5578.2,132.2,5579.8,1.4,53.5,58,19.7,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0, , GCQ,20250121_133634, Wedge,  Standard,25.9,35.8,4.5,2422,-366,-8.6,2449,57.5,65.4,3.4,44.3,12.9,24.9,1.04,-6.7,8.9,-7.1,-1.3,46.1,1299.8,-19,-11.9, , TM4,20250121_133634, 2025-01-21 PM 1:36:34, , , Unknown Player, Sand Wedge, Premium,23.179,-2.6,11,4.8,77.474,10.5,38.975,4.045,-6.955,25.546,1.1021,34.72,4.998,2451.47, Measured,16.127,31.48221207,11.55255494,3.277744489,54.12053123,7.076400665,0.806121008,3.22375,55.02116719,7.223197734,42.31806449,19.90727234,3.284957,67.39172088,9.234491223,64.1646545,10.00698716,-11.92383619,2.444, , ,55.5,68.0, , , , TRUE,98%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133703, SP_2025.01.21_13.37.03_009,22.64,31.37,2.11,4696.7,73.2,4697.2,0.9,43.2,49.7,19.7,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0, , GCQ,20250121_133647, Wedge,  Standard,22.9,34.1,2.9,1918,-679,-19.5,2035,46.1,53.5,0.3,40.4,9.1,20.4,1.13,2.4,10.7,-10.5,8.8,37.4,5450.2,-20,-14.1, , TM4,20250121_133647, 2025-01-21 PM 1:36:47, , , Unknown Player, Sand Wedge, Premium,22.647,-1.4,13,2.7,84.407,12.909,37.512,0.97,-12.03,22.717,1.0031,33.75,2.496,1998, Measured,0,23.58584213,7.858458218,1.196915179,42.8857829,2.576573895,-0.21058144,2.591378,42.6241784,2.558443509,38.6326494,18.82894707,2.573577,56.56596178,3.523956139,68.79141711,15.85780634,7.498601721,0.703, , ,42.7,56.7, , , , TRUE,101%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133715, SP_2025.01.21_13.37.15_010,26.09,34.89,5.79,5839.3,182.3,5842.2,1.8,55.4,59,24.3,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0, , GCQ,20250121_133700, Wedge,  Standard,27.3,37.1,6.5,2854,-69,-1.4,2855,62,70,7.6,46.8,15.2,27.7,0.99,-6.6,8.7,-1.5,-3.1,42.7,1450.7,-23,-10, , TM4,20250121_133700, 2025-01-21 PM 1:37:00, , , Unknown Player, Sand Wedge, Premium,25.004,-3,10.4,5.5,74.49,9.651,40.869,6.038,-4.362,26.736,1.0693,36.122,6.689,2833.08, Measured,19.8,35.22381592,13.48490262,4.312743977,61.43419506,8.812379697,-0.417691529,3.551609,61.00944587,8.741304778,44.28920137,20.75974655,3.522993,72.38159915,10.64151684,66.47436305,12.94618407,-10.61066345,1.648, , ,61.6,73.2, , , , TRUE,101%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133734, SP_2025.01.21_13.37.34_011,31.16,31.62,0.74,5760,-801.2,5815.4,-7.9,74,79.1,28.3,-4.4,5.9,66,4.8,0,0,0,0,0,0,0,0,0, , GCQ,20250121_133719, Wedge,  Standard,31.4,34,1.8,3249,-45,-0.8,3249,77.7,86.5,2.4,46.6,18.3,29.2,1.07,-8.2,6.8,-5.8,-4,40.3,1751.7,-10,-16, , TM4,20250121_133719, 2025-01-21 PM 1:37:19, , , Unknown Player, Sand Wedge, Premium,27.904,-4.4,8.8,8.6,73.958,7.518,38.132,-0.555,-9.355,31.0489,1.1127,33.562,0.766,3234.54, Measured,20.025,46.56316376,17.38633966,1.68658342,80.16324133,4.801037696,-1.579165445,4.287148,78.60483532,4.631588468,44.75713799,21.92222977,4.186755,89.85321207,5.838425812,67.58451187,8.419937215,-9.323045428,3.583, , ,78.7,90.0, , , , TRUE,102%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133716, SD_2025.01.21_13.37.16_002,30.91,32.15,2.4,7898.4,858,7944.9,6.2,76.6,80.2,31.4,98765,98765,98765,98765,30.88,32.94,-1.61,4659.9,-592.7,4702.7,-8.1,0,0, , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133753, SP_2025.01.21_13.37.53_012,31.45,33.37,2.75,4370.5,273.9,4379.1,3.6,77.2,83.3,22.8,3.2,0.6,60.5,10.1,0,0,0,0,0,0,0,0,0, , GCQ,20250121_133738, Wedge,  Standard,31.9,36.1,3.6,3006,-331,-6.3,3024,79.9,88,3,48.7,20.5,29.9,1.07,-6.8,9.3,-6.1,-3,41.6,1435.9,0,-18.4, , TM4,20250121_133738, 2025-01-21 PM 1:37:38, , , Unknown Player, Sand Wedge, Premium,28.789,-3.8,10.4,7.6,70.507,9.092,39.23,1.15,-9.25,31.8525,1.1064,35.163,2.332,2951.9, Measured,20.859,41.74913406,16.45181712,3.653572671,69.36998202,8.434401648,-1.759133947,3.949458,67.91686421,8.164207137,49.65391416,20.56235695,3.839637,76.50166425,9.739146178,66.17608736,-2.994542772,-10.20543772,5.414, , ,68.4,77.1, , , , TRUE,102%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133735, SD_2025.01.21_13.37.35_003,31.82,34.97,4.29,7192.8,1928,7446.8,15,67.8,70.6,31.4,98765,98765,98765,98765,31.28,31.33,2.44,4793.9,-45.4,4777,-1.2,0,0, , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133812, SP_2025.01.21_13.38.12_013,31.61,33.71,-0.41,6215.2,-1102.6,6312.2,-10.1,74.8,78.9,30.4,-7,6.8,60.2,3.6,0,0,0,0,0,0,0,0,0, , GCQ,20250121_133757, Wedge,  Standard,31.9,35.1,0.9,2194,-300,-7.8,2214,82.4,91.9,-1.6,46.5,19.5,31.1,1.03,-7.8,8.1,-9.2,-2.1,42,1979.9,4,-27.5, , TM4,20250121_133757, 2025-01-21 PM 1:37:57, , , Unknown Player, Sand Wedge, Premium,29.873,-4.4,8.4,9,67.508,6.673,37.65,-0.031,-8.431,31.612,1.0582,34.629,0.785,2171.39, Measured,19.251,45.39330673,17.21445206,1.18015292,76.98891005,3.312429991,0.579346046,3.867462,77.5881309,3.352200109,44.21810328,23.37510109,3.903252,91.41668149,4.269593251,65.44839796,-5.152906916,-7.470435463,2.29, , ,77.7,91.5, , , , TRUE,99%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133754, SD_2025.01.21_13.37.54_004,31.76,33.72,1.17,8126.8,1834,8331.1,12.7,75.6,78.9,33,98765,98765,98765,98765,32.07,33.31,-1.51,5520.4,-495.4,5470.7,-5.4,0,0, , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133831, SP_2025.01.21_13.38.31_014,32.74,33.42,0.31,6514.8,-1346.1,6652.4,-11.7,78.5,82.4,31.9,-3,7.6,61.1,7.4,0,0,0,0,0,0,0,0,0, , GCQ,20250121_133815, Wedge,  Standard,33.7,35.1,1.4,3473,-426,-7,3499,85.9,94.5,-1.2,49.3,22.2,32.5,1.04,-6.5,9.6,-10.3,-2.3,43.4,2279.8,-3,-12.8, , TM4,20250121_133815, 2025-01-21 PM 1:38:15, , , Unknown Player, Sand Wedge, Premium,30.819,-3.2,10.8,6.2,70.85,9.734,38.751,-0.497,-11.297,33.4184,1.0843,34.251,1.12,3474.49, Measured,-2.34,51.47494125,21.19183514,0.591973573,84.18033866,1.471864962,-0.81804702,4.705913,83.45738312,1.443869493,48.32482839,22.16722107,4.656881,92.75176272,1.799815891,65.71444897,1.963802304,-7.633783483,-0.187, , ,83.5,92.8, , , , TRUE,101%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133813, SD_2025.01.21_13.38.13_005,33.5,34.4,1.92,6278,178,6280.5,1.6,82.8,86.2,33,98765,98765,98765,98765,32.73,31.51,-1.25,4768.3,-519.3,4765.8,-6.4,0,0, , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133847, SP_2025.01.21_13.38.47_015,30.8,33.69,3.27,5686.4,863.8,5751.6,8.6,72.5,77.3,31.9,3.2,-1.6,57.1,3.2,31.8,33.14,2.81,8030.1,-107.3,8005.3,-0.7,0,0, , GCQ,20250121_133832, Wedge,  Standard,31.9,34.5,3.8,4013,-231,-3.3,4020,78.2,85,4.3,48.1,19.3,32.7,0.98,-5.1,9.8,-6.5,-1.1,46.7,2161,7,-32.6, , TM4,20250121_133832, 2025-01-21 PM 1:38:32, , , Unknown Player, Sand Wedge, Premium,31.177,-3.4,8.8,7.3,61.594,7,39.409,2.121,-6.679,31.5435,1.0118,33.728,3.292,4029.29, Measured,7.869,46.27819443,18.19782018,2.988609435,78.90095727,6.596961595,-1.326774677,4.327186,77.63222079,6.448355785,45.82203032,22.41610336,4.245905,87.4988659,7.596122523,64.67214332,-6.631020726,-17.92848107,1.995, , ,77.9,87.8, , , , TRUE,102%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133829, SD_2025.01.21_13.38.29_006,31.86,33.5,4.25,7268.9,863,7319.9,6.8,76.9,80.3,33,98765,98765,98765,98765,31.91,34.97,2.01,7762.6,212.4,7789.9,1.1,0,0, , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
Wave,20250121_133907, SP_2025.01.21_13.39.07_016,32.29,36.12,2.06,6536.7,-746.1,6579.2,-6.5,76.2,79.6,30.4,-1.4,6,62.6,6.1,0,0,0,0,0,0,0,0,0, , GCQ,20250121_133852, Wedge,  Standard,33.4,37.1,2.5,3300,-629,-10.8,3359,84.1,91.4,-1,50.8,23.2,32.1,1.04,-5.9,7.6,-9.7,-2.9,43.9,2503.2,10,-2.4, , TM4,20250121_133852, 2025-01-21 PM 1:38:52, , , Unknown Player, Sand Wedge, Premium,26.638,-3,10,5.7,73.485,9.147,40.936,0.087,-9.913,33.1385,1.244,36.52,1.464,3343.17, Measured,5.391,50.25034332,22.07549341,2.6142879,81.02323094,6.985394377,0.151570023,4.663186,81.15212431,7.003699908,49.61537373,22.59387207,4.672005,90.15943181,8.281508537,64.90464356,-11.91008749,-6.734446822,4.936, , ,81.5,90.5, , , , TRUE,100%, , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133849, SD_2025.01.21_13.38.49_007,33.03,35.91,3.14,6483.3,-1263,6605.2,-11,73.8,75.5,33,98765,98765,98765,98765,31.7,29.02,1.25,4561.2,-117.3,4583.7,-3.2,0,0, , ,,,,,,,,드라이빙레인지,50m,"1,015hPa",24도,60%,4m/s,→,0mm,100%,아마추어,2피스,무
