SensorName,Date-Time(Wave),Name(Wave),Speed(Wave),Launch(Wave),Dir(Wave),BS(Wave),SS(Wave),TS(Wave),SA(Wave),Carry(Wave),Total(Wave),HeadSpeed(Wave),AA(Wave),CP(Wave),SP(Wave),SD(Wave),ML1_SP(Wave),ML1_LA(Wave),ML1_DA(Wave),ML1_BS(Wave),ML1_SS(Wave),ML1_SR(Wave),ML1_SA(Wave),RCT_MEA(Wave),RCT_MEA_AI(Wave),,SensorName,Date-Time(GCQ),ForesightSports:PLAYER1-2025-01-14¿ÀÀü10:4Club(GCQ),Ball(GCQ),BallSpeed(GCQ),LaunchAngle(GCQ),SideAngle(GCQ),Backspin(GCQ),Sidespin(GCQ),TiltAngle(GCQ),TotalSpin(GCQ),Carry(GCQ),Total(GCQ),Offline(GCQ),DescentAngle(GCQ),PeakHeight(GCQ),ClubSpeed(GCQ),Efficiency(GCQ),AngleofAttack(GCQ),ClubPath(GCQ),FacetoPath(GCQ),Lie(GCQ),Loft(GCQ),ClosureRate(GCQ),FaceImpactLateral(GCQ),FaceImpactVertical(GCQ),,SensorName,Date-Time(TM4),Date(TM4),TMDNo(TM4),TMDFilename(TM4),Player(TM4),Club(TM4),Ball(TM4),ClubSpeed(TM4),AttackAngle(TM4),ClubPath(TM4),LowPoint(TM4),SwingPlane(TM4),SwingDirection(TM4),Dyn.Loft(TM4),FaceAngle(TM4),FaceToPath(TM4),BallSpeed(TM4),SmashFactor(TM4),LaunchAngle(TM4),LaunchDirection(TM4),SpinRate(TM4),SpinRateType(TM4),SpinAxis(TM4),MaxHeight-Dist.(TM4),MaxHeight-Height(TM4),MaxHeight-Side(TM4),LastdataPoint-Length(TM4),LastdataPoint-Side(TM4),LastdataPoint-Height(TM4),LastdataPoint-Time(TM4),CarryFlat-Length(TM4),CarryFlat-Side(TM4),CarryFlat-Land.Angle(TM4),CarryFlat-BallSpeed(TM4),CarryFlat-Time(TM4),Est.TotalFlat-Length(TM4),Est.TotalFlat-Side(TM4),DynamicLie(TM4),ImpactOffset(TM4),ImpactHeight(TM4),Curve(TM4),SpinAxis(Sim)(TM4),Curve(Sim)(TM4),Carry(Sim)(TM4),Total(Sim)(TM4),CarrySide(Sim)(TM4),Totalside(Sim)(TM4),LandingAngle(Sim)(TM4),UseInStat(TM4),Tags(TM4),Condition(TM4),Email(TM4),,SensorName,Date-Time(GRadar),Name(GRadar),Speed(GRadar),Launch(GRadar),Dir(GRadar),BS(GRadar),SS(GRadar),TS(GRadar),SA(GRadar),Carry(GRadar),Total(GRadar),HeadSpeed(GRadar),AA(GRadar),CP(GRadar),SP(GRadar),SD(GRadar),ML1_SP(GRadar),ML1_LA(GRadar),ML1_DA(GRadar),ML1_BS(GRadar),ML1_SS(GRadar),ML1_SR(GRadar),ML1_SA(GRadar),RCT_MEA(GRadar),RCT_MEA_AI(GRadar),,
Wave,20210402_031306, SD_2021.04.02_03.13.06_003, 42.31, 13.63, -1.79, 3805.7, -1206.6, 3992.4, -17.6, 105.1, 123.9, 34.1, -6.3, 5.2, 58.5, 2.1, 42.74, 17.30, -3.07, 3977.1, -210.6, 3986.8, -3.9, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20210402_031434, SD_2021.04.02_03.14.34_004, 43.28, 18.12, 3.83, 4659.5, 182.8, 4663.1, 2.2, 119.7, 132.8, 35.0, -4.8, 3.5, 56.4, -0.6, 44.15, 20.12, -0.00, 4981.9, 574.2, 5048.9, 6.6, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_080534, SD_2025.01.14_08.05.34_005, 46.68, 16.02, -1.31, 4437.2, -292.9, 4446.8, -3.8, 132.4, 146.7, 36.5, -4.7, 0.0, 46.2, -5.3, 24.78, 27.70, 0.44, 2287.3, -36.4, 2299.1, -2.1, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_080601, SD_2025.01.14_08.06.01_006, 43.97, 14.86, 0.31, 3977.0, -368.4, 3994.0, -5.3, 118.0, 135.3, 35.1, -4.6, 2.5, 52.3, -1.4, 44.91, 17.27, -2.33, 5229.6, -193.1, 5240.2, -2.1, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_080649, SD_2025.01.14_08.06.49_007, 45.04, 19.96, 2.37, 5057.9, -234.2, 5063.4, -2.7, 128.1, 138.3, 34.9, -4.4, 4.3, 56.1, 1.0, 45.56, 20.36, -0.27, 4077.1, -574.4, 4141.6, -8.5, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_080812, SD_2025.01.14_08.08.12_011, 46.73, 18.15, 3.11, 4763.6, 573.9, 4798.0, 6.9, 134.5, 145.8, 35.3, -4.4, 0.5, 52.3, -4.4, 47.24, 18.99, 0.13, 5633.7, -15.7, 5638.1, -0.7, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_082547, SD_2025.01.14_08.25.47_015, 41.11, 15.10, -4.48, 3960.8, 171.4, 3964.5, 2.5, 105.0, 122.6, 34.5, -5.1, -6.2, 52.5, -11.5, 41.83, 17.94, -5.72, 5603.4, 273.7, 5600.0, 2.6, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_082617, SD_2025.01.14_08.26.17_016, 42.42, 16.72, -4.74, 4287.9, 341.6, 4301.4, 4.6, 114.3, 129.2, 34.7, -4.6, -7.6, 48.5, -13.3, 27.41, 25.67, -3.09, 2086.2, -14.9, 2130.1, -4.2, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_082643, SD_2025.01.14_08.26.43_017, 46.59, 17.29, -1.50, 4493.6, 368.7, 4508.7, 4.7, 133.5, 146.7, 36.6, -3.0, -3.8, 53.9, -7.2, 46.67, 17.05, -4.54, 4688.4, 285.3, 4650.7, 2.2, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_083803, SD_2025.01.14_08.38.03_025, 58.23, 12.85, 1.94, 3162.8, 384.9, 3186.1, 6.9, 185.1, 200.8, 44.1, -2.0, 0.2, 40.4, -3.2, 58.79, 12.35, -0.52, 3542.7, 768.8, 3629.4, 11.9, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
